1,101,5.0
1,102,4.5
1,103,3.0
1,104,4.0
1,105,2.5
2,101,4.0
2,102,3.0
2,103,4.5
2,106,5.0
2,107,3.5
3,104,4.0
3,105,5.0
3,108,3.0
3,109,4.5
3,110,2.5
4,102,3.0
4,103,4.0
4,106,2.5
4,108,4.0
4,111,5.0
5,101,4.5
5,103,4.0
5,104,3.5
5,107,5.0
5,109,3.0
6,102,4.0
6,105,4.5
6,108,3.5
6,110,2.5
6,112,4.0
7,101,5.0
7,103,3.5
7,106,4.0
7,107,2.5
7,113,3.0
8,102,4.5
8,104,5.0
8,105,3.0
8,108,4.0
8,114,2.5
9,103,3.5
9,104,4.0
9,106,4.5
9,110,3.0
9,115,5.0
10,101,2.5
10,107,4.5
10,109,3.0
10,112,4.0
10,116,5.0
11,102,3.5
11,105,4.0
11,108,2.5
11,113,4.5
11,117,3.0
12,101,4.5
12,104,3.0
12,106,4.5
12,111,5.0
12,118,2.5
13,103,4.0
13,105,3.5
13,107,4.5
13,109,3.0
13,119,2.0
14,102,5.0
14,106,3.5
14,108,4.0
14,114,2.5
14,120,4.5
15,101,3.0
15,103,5.0
15,105,4.0
15,110,3.5
15,121,2.0
16,102,3.5
16,104,4.5
16,106,5.0
16,112,3.0
16,122,4.0
17,101,4.0
17,103,2.5
17,107,3.5
17,113,5.0
17,123,4.5
18,104,3.5
18,105,4.0
18,108,3.0
18,114,2.5
18,124,4.0
19,102,4.5
19,106,3.0
19,109,5.0
19,115,3.5
19,125,2.0
20,101,3.5
20,103,4.5
20,110,4.0
20,116,2.5
20,126,3.0
21,105,5.0
21,108,4.5
21,111,3.0
21,117,4.0
21,127,3.5
22,102,4.0
22,106,2.5
22,109,4.5
22,112,3.0
22,128,4.0
23,101,4.5
23,103,3.0
23,107,4.0
23,113,2.5
23,129,5.0
24,104,3.5
24,105,2.5
24,108,4.0
24,114,3.0
24,130,3.5
25,102,3.5
25,106,5.0
25,109,2.5
25,115,3.5
25,131,4.0
26,101,5.0
26,103,4.5
26,110,2.0
26,116,3.5
26,132,3.0
27,105,3.0
27,107,5.0
27,111,4.0
27,117,3.5
27,133,2.5
28,102,4.0
28,106,4.5
28,108,3.5
28,112,2.5
28,134,4.5
29,101,3.0
29,103,4.0
29,109,5.0
29,113,2.5
29,135,3.5
30,104,4.5
30,105,3.0
30,110,2.5
30,114,4.0
30,136,3.0
